-0.0421196  0.0349612 -0.0894093
0.00173543   0.020671 -0.0310036
0.0410999 0.0121571 0.0170392
  0.072119 0.00712782  0.0532005
  0.094407 0.00419006  0.0785044
  0.109377 0.00250525  0.0952156
  0.118903 0.00157033   0.105721
  0.124656 0.00108313   0.112002
   0.127905 0.000861608    0.115514
   0.129545 0.000795812    0.117263
   0.130175 0.000819262    0.117914
  0.130186 0.00089183     0.1179
    0.12983 0.000989409    0.117494
  0.129265 0.00109765   0.116871
  0.128593 0.00120816   0.116136
  0.127875 0.00131613   0.115358
  0.127149 0.00141897   0.114576
  0.126437 0.00151539   0.113813
 0.125753 0.0016049  0.113083
  0.125103 0.00168745   0.112392
  0.124491 0.00176324   0.111744
  0.123917 0.00183264   0.111138
  0.123381 0.00189606   0.110575
  0.122882 0.00195392   0.110052
  0.122417 0.00200668   0.109567
  0.121986 0.00205475   0.109117
  0.121585 0.00209852   0.108701
  0.121212 0.00213836   0.108315
  0.120866 0.00217461   0.107958
  0.120545 0.00220758   0.107628
  0.120246 0.00223757   0.107322
  0.119969 0.00226484   0.107038
  0.119711 0.00228962   0.106775
  0.119471 0.00231213   0.106531
  0.119247 0.00233258   0.106304
  0.119039 0.00235114   0.106093
  0.118845 0.00236799   0.105898
  0.118664 0.00238327   0.105716
  0.118494 0.00239712   0.105546
  0.118336 0.00240967   0.105388
  0.118188 0.00242103    0.10524
 0.118049 0.0024313  0.105102
  0.117918 0.00244059   0.104973
  0.117796 0.00244897   0.104852
  0.117681 0.00245654   0.104739
  0.117572 0.00246335   0.104632
   0.11747 0.00246947   0.104532
  0.117373 0.00247498   0.104438
  0.117282 0.00247991   0.104349
  0.117195 0.00248432   0.104265
  0.117113 0.00248826   0.104186
  0.117035 0.00249176    0.10411
   0.11696 0.00249487   0.104039
  0.116889 0.00249762   0.103971
  0.116822 0.00250005   0.103906
  0.116757 0.00250217   0.103845
  0.116695 0.00250402   0.103786
  0.116635 0.00250562   0.103729
  0.116577 0.00250699   0.103675
  0.116522 0.00250815   0.103623
  0.116469 0.00250913   0.103573
  0.116417 0.00250993   0.103525
  0.116368 0.00251058   0.103478
  0.116319 0.00251108   0.103433
  0.116272 0.00251145    0.10339
  0.116227 0.00251171   0.103348
  0.116182 0.00251185   0.103307
 0.116139 0.0025119  0.103267
  0.116097 0.00251186   0.103228
  0.116056 0.00251173    0.10319
  0.116016 0.00251154   0.103153
  0.115976 0.00251127   0.103117
  0.115938 0.00251094   0.103082
    0.1159 0.00251056   0.103047
  0.115862 0.00251013   0.103013
  0.115826 0.00250965    0.10298
   0.11579 0.00250913   0.102947
  0.115754 0.00250857   0.102915
  0.115719 0.00250798   0.102883
  0.115685 0.00250736   0.102852
  0.115651 0.00250671   0.102821
  0.115617 0.00250603   0.102791
  0.115584 0.00250534   0.102761
