_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
1830261993,2086,10728,10653,0.993009,6851,0.638609,6559,0.611391,2.60115,2.14728,2.77565,12.966,6.7774,2.22383,3.0263,0.00621575,0.000631749,0.000207292,0.000282094,8.00168e-05,0.000131373,
240582777,820,5287,5263,0.995461,3720,0.703613,3648,0.689994,2.67034,2.05428,2.48898,4.76048,3.27699,1.13856,1.40036,0.00580546,0.000619821,0.000215351,0.000264868,8.08234e-05,0.000128934,
667239394,5000,32275,32174,0.996871,22911,0.709868,22279,0.690287,2.42127,2.14522,2.59605,64.6734,20.2158,6.17199,8.98916,0.0129347,0.00062636,0.000191231,0.000278518,7.91008e-05,0.000129832,
1975233749,3139,17343,17255,0.994926,11110,0.640604,11066,0.638067,2.47702,2.0482,2.76526,25.3207,10.5961,3.37519,4.60809,0.00806648,0.00061097,0.000194614,0.000265703,7.87879e-05,0.000129725,
1990884877,3421,17106,16994,0.993453,10535,0.615866,10267,0.600199,2.2941,2.05787,2.82933,26.1028,10.3821,3.03416,4.63895,0.00763017,0.000606928,0.000177374,0.000271188,7.7495e-05,0.000131781,
813256466,3373,14787,14682,0.992899,8090,0.547102,8045,0.544059,2.4434,1.86508,2.74623,21.0948,8.62888,2.84682,3.65558,0.00625401,0.000583545,0.000192522,0.000247216,7.91068e-05,0.000132549,
1361901116,5000,29622,29469,0.994835,19962,0.673891,19626,0.662548,2.90475,1.95358,2.45822,61.9531,18.8108,7.25692,7.57757,0.0123906,0.000635029,0.000244984,0.000255809,8.45243e-05,0.000130944,
1055588234,5000,19227,19138,0.995371,9247,0.480938,9227,0.479898,2.37397,1.70999,2.76565,30.3287,10.6524,3.57955,4.41729,0.00606573,0.000554032,0.000186173,0.000229744,7.863e-05,0.000134354,
1502915950,3574,20025,19835,0.990512,13088,0.653583,12882,0.643296,2.39143,2.0826,2.67252,30.2335,12.2492,3.76545,5.49386,0.00845928,0.000611693,0.000188038,0.00027435,7.90514e-05,0.000131735,
560994403,1705,8415,8389,0.99691,5040,0.59893,5007,0.595009,2.27178,1.98538,2.7252,8.58177,4.94468,1.46001,2.20674,0.00503329,0.000587603,0.000173501,0.000262239,7.64965e-05,0.000132085,
