3 0 0.739034    7 0 1.16624
3 3 0.938545    17 0 2.06859
7 0 1.86126    7 7 0.390804
3 3 0.956556    18 17 1.61838
7 7 1.9376    7 7 0.390804
3 3 0.614692    28 0 2.01528
9 7 0.436756    7 7 0.399912
3 3 0.956556    18 18 2.26415
9 9 1.81748    7 7 0.399912
3 3 0.956556    18 18 2.29969
19 9 1.03322    7 7 0.869294
3 3 0.956556    18 18 2.26193
3 3 1.57185    7 7 0.121321
3 3 0.803317    32 28 1.98636
19 19 1.22457    7 7 0.869294
3 3 0.118216    7 7 0.375694
9 9 1.28648    7 7 0.399912
22 19 0.692605    42 18 1.95643
23 22 1.0366    43 7 1.10399
23 23 1.03252    49 42 1.49861
23 23 1.6481    43 43 1.03013
23 23 1.03252    49 49 2.00146
24 23 1.57377    43 43 1.0409
3 3 1.25684    59 32 1.98202
30 3 1.44095    43 43 0.853081
30 30 1.24798    65 59 1.70155
31 24 1.34745    43 43 1.03447
30 30 1.24798    65 65 1.74074
31 31 2.06596    43 43 1.03447
31 31 0.937996    49 49 1.02982
41 30 1.89618    43 43 1.44839
31 31 0.937996    49 49 2.02498
31 31 1.13985    43 43 1.03447
31 31 0.937996    49 49 1.89555
42 36 0.683525    43 43 1.3443
48 41 1.3542    75 65 1.7396
48 48 1.76843    43 43 1.6976
31 31 1.05792    81 49 1.57407
31 31 2.04934    43 43 1.03447
31 31 1.07193    82 81 1.99761
48 48 1.64074    43 43 1.6976
31 31 1.07193    82 82 1.55647
48 48 1.71418    43 43 1.6976
31 31 1.07193    82 82 2.09303
48 48 1.60006    43 43 1.6976
48 48 1.30603    89 75 0.864086
49 48 1.60152    99 58 1.07467
50 49 1.49749    106 88 1.67477
24 24 0.973923    43 43 1.0409
50 50 1.32758    89 89 1.18337
31 31 1.85858    43 43 1.03447
50 50 1.33188    116 89 0.873656
31 31 1.47945    43 43 1.03447
31 31 1.07193    82 82 1.60382
52 50 1.8343    99 99 0.267983
31 31 1.07193    82 82 2.05397
53 31 1.27501    43 43 1.02291
56 52 1.4392    106 106 1.85792
53 53 0.91459    43 43 1.02291
50 50 0.0524033    99 99 1.30926
66 53 0.840092    81 81 1.37624
67 57 0.831622    49 49 1.0446
73 66 1.78942    81 81 1.11591
56 56 1.27955    119 116 0.412135
56 56 1.8491    99 99 0.640849
56 56 1.2643    124 116 1.71659
73 73 1.81047    81 81 1.11591
73 73 1.05561    82 82 2.10796
56 56 1.80422    99 99 0.640849
73 73 0.994117    81 81 1.11418
83 56 1.78108    89 89 0.573396
87 83 1.09826    127 124 1.99498
87 87 1.58786    89 89 0.490506
73 73 1.05561    82 82 1.37974
73 73 1.18304    81 81 1.11591
73 73 0.994117    81 81 0.94023
73 73 1.98871    81 81 1.11591
73 73 1.05561    82 82 1.89299
50 50 0.54291    99 99 0.0444582
87 87 0.966717    127 127 2.02305
73 73 1.9055    81 81 1.11591
73 73 1.05561    82 82 1.89383
87 87 1.1984    89 89 0.490506
67 67 0.452729    42 42 1.82173
67 67 1.74151    134 49 1.50214
87 87 0.599397    89 89 0.74406
73 73 0.56179    144 134 0.559781
73 73 1.05561    82 82 2.08516
87 87 1.75764    89 89 0.490506
87 87 0.851912    145 124 0.640923
87 87 1.98109    89 89 0.490506
87 87 0.999077    146 127 2.17357
97 87 1.75127    89 89 0.371564
73 73 1.05561    82 82 2.05883
73 73 1.92808    144 144 0.650125
98 97 0.9279    152 146 2.17622
87 87 0.540746    89 89 0.490506
98 98 0.949184    155 152 1.73553
108 18 0.804417    156 143 1.279
98 98 1.1278    166 155 2.03882
109 70 1.10746    144 144 0.64991
98 98 1.09638    168 166 1.79744
73 73 1.05063    144 144 0.650125
73 73 1.03674    144 144 1.73919
98 98 1.86473    89 89 0.451155
73 73 1.03674    144 144 1.04565
98 98 1.86607    89 89 0.451155
67 67 0.924991    76 76 1.13244
110 98 1.7508    89 89 0.47218
98 98 1.09638    168 168 2.27954
110 110 0.657438    89 89 0.47218
116 65 1.42412    178 156 0.982002
