planning_time,_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
5.38442,2121346854,5000,10329,4908,0.475167,1897,0.183658,353,0.0341756,3.62531,0.640236,2.88455,5.37752,4.18469,2.9284,0.914423,0.0010755,0.00040514,0.000283512,8.85296e-05,0.000114731,0.000138277,
5.22985,922752979,5000,10473,5308,0.506827,581,0.055476,511,0.0487921,3.75151,0.233553,2.56454,5.22348,3.70936,3.09023,0.355272,0.0010447,0.000354183,0.000295067,3.39226e-05,0.000113951,0.000145246,
4.95312,2017225728,5000,10360,5276,0.509266,424,0.0409266,390,0.0376448,3.75322,0.252992,2.53774,4.94621,3.5836,2.92967,0.404844,0.000989243,0.000345907,0.000282787,3.90776e-05,0.000113849,0.000154461,
5.24727,1341345652,5000,10302,5346,0.518928,467,0.045331,325,0.0315473,3.72802,0.359445,2.65953,5.24083,4.0393,3.13624,0.606886,0.00104817,0.000392089,0.00030443,5.89095e-05,0.00011515,0.00016389,
5.61153,1368681690,5000,10309,5860,0.568435,2039,0.197788,323,0.0313318,3.58737,0.647492,2.70966,5.60523,4.40364,3.12771,0.924592,0.00112105,0.000427165,0.000303396,8.96878e-05,0.000112951,0.000138516,
4.99233,280144414,5000,10333,5352,0.517952,377,0.036485,366,0.0354205,3.77448,0.228104,2.52255,4.9862,3.66,3.05446,0.37258,0.000997241,0.000354205,0.000295602,3.60573e-05,0.00011354,0.000158074,
5.0346,1742504729,5000,10375,4224,0.407133,1064,0.102554,408,0.0393253,3.75923,0.459373,2.5047,5.02847,3.72426,2.72299,0.708067,0.00100569,0.000358965,0.000262457,6.82474e-05,0.000117659,0.000148566,
4.44729,858114875,5000,10341,3517,0.340103,511,0.049415,366,0.0353931,3.91754,0.23402,2.68689,4.44083,3.22575,2.65346,0.360718,0.000888166,0.000311938,0.000256596,3.48823e-05,0.000120404,0.000149057,
5.07267,1863148743,5000,10361,5970,0.576199,381,0.0367725,378,0.036483,3.77085,0.152688,2.55643,5.06599,3.78813,3.31437,0.247612,0.0010132,0.000365614,0.000319889,2.38985e-05,0.000114494,0.000156518,
5.32281,1004051318,5000,10315,5407,0.524188,1304,0.126418,334,0.03238,3.72721,0.484925,2.78374,5.31632,4.1671,3.14964,0.716418,0.00106326,0.000403985,0.000305345,6.9454e-05,0.000114022,0.000143226,
4.95975,545534512,5000,10349,4025,0.388926,1305,0.126099,368,0.035559,3.69565,0.423519,2.76705,4.95354,3.70826,2.85569,0.599226,0.000990708,0.000358321,0.000275939,5.79019e-05,0.000118287,0.000136716,
4.31573,1252452384,5000,10428,3343,0.320579,586,0.0561949,471,0.0451669,3.57134,0.201381,2.55973,4.30953,2.8816,2.37277,0.296228,0.000861905,0.000276333,0.000227538,2.8407e-05,0.000117814,0.000141061,
0.190432,525373924,96,289,242,0.83737,101,0.349481,101,0.349481,3.71901,1.19723,2.62376,0.184473,0.171238,0.102943,0.0473722,0.00192159,0.000592519,0.000356204,0.000163918,0.000107907,0.000136914,
5.5538,265204937,5000,10492,5661,0.539554,584,0.0556615,529,0.0504194,3.74934,0.281643,2.58048,5.54764,3.95844,3.24149,0.443419,0.00110953,0.000377281,0.000308949,4.22626e-05,0.000113474,0.000150057,
4.94062,1726160245,5000,10336,5031,0.486745,368,0.0356037,359,0.034733,3.72789,0.194853,2.5163,4.93407,3.6503,3.10703,0.316437,0.000986815,0.000353164,0.000300603,3.06151e-05,0.000115233,0.000157119,
4.82886,390816757,5000,10445,4400,0.421254,668,0.063954,482,0.0461465,3.71136,0.282815,2.48353,4.82268,3.34509,2.66054,0.427477,0.000964536,0.000320258,0.000254719,4.09265e-05,0.000115379,0.000144711,
4.83544,13932803,5000,10341,4479,0.43313,547,0.0528962,369,0.0356832,3.64412,0.244464,2.45704,4.82832,3.56674,2.9349,0.385849,0.000965664,0.000344912,0.000283812,3.73126e-05,0.000118086,0.00015263,
5.05699,723207454,5000,10352,5130,0.495556,385,0.0371909,376,0.0363215,3.76082,0.186824,2.56104,5.05066,3.74758,3.21904,0.297902,0.00101013,0.000362015,0.000310958,2.87773e-05,0.00011546,0.000154034,
5.06262,289172013,5000,10359,5418,0.523023,698,0.067381,384,0.0370692,3.69915,0.290955,2.45845,5.05621,3.75574,3.03267,0.453265,0.00101124,0.000362558,0.000292757,4.37556e-05,0.000112831,0.000150386,
2.38361,1120197272,2026,4416,2450,0.554801,620,0.140399,385,0.087183,3.59837,0.695879,2.3871,2.36947,1.92923,1.29246,0.456837,0.00116953,0.000436873,0.000292676,0.00010345,0.000111824,0.000148662,
5.75816,132657972,5000,10332,5823,0.563589,616,0.0596206,358,0.0346496,3.68762,0.660666,2.38149,5.75187,4.49309,3.04115,1.0881,0.00115037,0.000434871,0.000294343,0.000105314,0.000111117,0.000159406,
5.0555,1285805966,5000,10442,4557,0.436411,793,0.0759433,485,0.046447,3.73557,0.366213,2.57377,5.04927,3.67978,2.80791,0.583523,0.00100985,0.000352402,0.000268905,5.58823e-05,0.00011513,0.000152595,
5.32742,715558772,5000,10445,5312,0.508569,495,0.0473911,486,0.0465294,3.73776,0.211776,2.52929,5.32128,3.83475,3.2567,0.333147,0.00106426,0.000367137,0.000311795,3.18954e-05,0.000114685,0.000150609,
