planning_time,_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
0.395248,76237347,88,311,221,0.710611,142,0.456592,142,0.456592,3.58371,1.46302,2.99296,0.382693,0.365131,0.21477,0.118513,0.00434878,0.00117406,0.00069058,0.000381069,0.000222791,0.000260467,
0.393203,1114902913,172,440,242,0.55,98,0.222727,98,0.222727,3.78926,0.695455,2.84694,0.384857,0.3574,0.261073,0.0732458,0.00223754,0.000812272,0.000593348,0.000166468,0.000210204,0.000239365,
7.59954,1540835426,5000,10385,5760,0.554646,415,0.0399615,413,0.0397689,3.72396,0.24728,2.84096,7.59252,6.19956,5.22326,0.7202,0.0015185,0.000596973,0.000502962,6.93501e-05,0.000197208,0.000280452,
1.00251,394387311,516,1207,640,0.53024,180,0.14913,180,0.14913,3.74375,0.574151,2.88889,0.980925,0.883045,0.655286,0.175249,0.00190102,0.000731603,0.000542905,0.000145194,0.000209023,0.000252885,
4.95627,107392948,3216,6849,2659,0.388232,750,0.109505,456,0.0665791,3.68597,0.412323,2.99067,4.9449,4.0369,3.12883,0.713145,0.00153759,0.000589414,0.00045683,0.000104124,0.000213179,0.00025253,
0.599684,337472223,304,710,440,0.619718,105,0.147887,105,0.147887,3.74091,0.556338,2.95238,0.580508,0.529972,0.402335,0.0975845,0.00190957,0.00074644,0.000566669,0.000137443,0.000202382,0.000247049,
7.39413,494136712,5000,10387,4893,0.47107,428,0.0412054,421,0.0405314,3.42101,0.280254,2.98832,7.38748,6.0125,4.89907,0.845623,0.0014775,0.000578849,0.000471654,8.14117e-05,0.000203543,0.000290492,
5.53219,1225159536,3541,7443,3575,0.480317,400,0.0537418,393,0.0528013,3.78098,0.277173,2.955,5.49883,4.56303,3.77547,0.575113,0.0015529,0.000613063,0.000507251,7.72689e-05,0.000212954,0.000278775,
0.384234,1631784951,129,357,259,0.72549,102,0.285714,102,0.285714,3.88417,0.882353,2.88235,0.36804,0.346333,0.24384,0.077668,0.00285303,0.000970121,0.000683026,0.000217557,0.000211851,0.000246565,
8.30663,631151439,5000,10469,4179,0.399179,616,0.0588404,510,0.0487153,4.08351,0.363932,3.04545,8.2998,6.679,5.31879,1.08123,0.00165996,0.000637979,0.000508052,0.000103279,0.000220349,0.000283788,
