planning_time,_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
0.236859,2121346854,82,280,192,0.685714,123,0.439286,123,0.439286,4.53125,1.69643,2.56911,0.228894,0.21532,0.115969,0.0678199,0.00279139,0.000769,0.000414176,0.000242214,0.000118215,0.000142779,
0.361263,922752979,134,459,352,0.766885,198,0.431373,198,0.431373,3.93182,1.64052,2.62121,0.350288,0.322353,0.171944,0.104002,0.00261409,0.000702294,0.000374606,0.000226584,0.000112162,0.000138117,
0.326741,2017225728,121,437,347,0.79405,202,0.462243,201,0.459954,3.58213,1.54233,2.66832,0.307938,0.285744,0.14725,0.0904162,0.00254494,0.000653877,0.000336956,0.000206902,0.000108033,0.000134149,
0.250622,1341345652,102,324,238,0.734568,124,0.382716,124,0.382716,4.16807,1.62037,2.6371,0.239451,0.222889,0.125578,0.0729728,0.00234756,0.000687929,0.000387586,0.000225225,0.000112324,0.000138996,
0.109383,1368681690,12,120,112,0.933333,103,0.858333,103,0.858333,3.74107,2.375,2.64078,0.100564,0.0978175,0.0485994,0.0374371,0.00838035,0.000815145,0.000404995,0.000311976,0.00011198,0.000131358,
0.328459,280144414,114,410,287,0.7,190,0.463415,190,0.463415,4.04878,1.55366,2.64211,0.324118,0.29981,0.167736,0.0960347,0.00284314,0.000731243,0.000409113,0.000234231,0.000126023,0.000150761,
0.134734,1742504729,24,150,138,0.92,106,0.706667,106,0.706667,3.86957,2.22667,2.73585,0.125412,0.120877,0.0610063,0.0438516,0.00522549,0.000805848,0.000406709,0.000292344,0.000109724,0.000131292,
0.449504,858114875,224,621,392,0.63124,180,0.289855,180,0.289855,4.51276,1.37198,2.6,0.439933,0.399192,0.233119,0.118611,0.00196399,0.000642822,0.000375392,0.000191,0.000114442,0.000139215,
0.123893,1863148743,25,127,105,0.826772,82,0.645669,82,0.645669,4.0381,2.04724,2.70732,0.110216,0.105737,0.0559731,0.0377016,0.00440864,0.000832578,0.000440733,0.000296863,0.000121417,0.000145006,
0.160615,1004051318,58,212,155,0.731132,100,0.471698,100,0.471698,4.06452,1.48113,2.6,0.148899,0.139097,0.0780034,0.0409142,0.00256722,0.000656116,0.000367941,0.000192991,0.000110486,0.0001303,
0.454854,545534512,287,753,365,0.484728,184,0.244356,184,0.244356,4.18904,0.948207,2.66848,0.442107,0.39114,0.243209,0.0981398,0.00154044,0.000519443,0.000322987,0.000130332,0.000117266,0.000137451,
0.160416,1252452384,69,199,126,0.633166,63,0.316583,63,0.316583,4.48413,1.46231,2.74603,0.144062,0.133664,0.0774535,0.0395529,0.00208785,0.000671679,0.000389214,0.000198758,0.000115258,0.000135921,
0.330581,525373924,142,457,357,0.781182,181,0.396061,181,0.396061,3.65546,1.23195,2.61878,0.320277,0.292023,0.159926,0.0765672,0.00225547,0.000639,0.000349948,0.000167543,0.000109915,0.000135999,
0.206941,265204937,59,233,189,0.811159,121,0.519313,121,0.519313,4.29101,1.95279,2.66116,0.188628,0.178918,0.0976624,0.0611334,0.00319709,0.000767888,0.000419152,0.000262375,0.000111487,0.000134359,
0.552788,1726160245,242,796,529,0.664573,329,0.413317,329,0.413317,3.89792,1.27889,2.61398,0.539856,0.482758,0.278225,0.13338,0.00223081,0.00060648,0.000349529,0.000167563,0.000111962,0.000131021,
0.504884,390816757,209,629,447,0.710652,222,0.352941,222,0.352941,4.12304,1.40859,2.5991,0.494524,0.451219,0.257185,0.13759,0.00236615,0.000717359,0.000408879,0.000218745,0.000121831,0.000155294,
1.27973,13932803,662,1790,1050,0.586592,482,0.269274,481,0.268715,4.25143,1.09218,2.59544,1.26858,1.06711,0.656064,0.276912,0.00191629,0.000596153,0.000366516,0.000154699,0.000117427,0.000141643,
0.352999,723207454,137,416,326,0.783654,148,0.355769,148,0.355769,4.58282,1.69231,2.60135,0.348837,0.32409,0.185682,0.0971931,0.00254625,0.000779062,0.00044635,0.000233637,0.000113567,0.000138058,
